Code Domaine,Domaine,Code zone (M49),Zone,Code Élément,Élément,Code Produit,Produit,Code année,Année,Unité,Valeur,Symbole,Description du Symbole,Note
"RL","Utilisation des terres","768","Togo","5110","Superficie","6620","Terres en culture","1998","1998","1000 ha","2350","I","Valeur imputée par une agence réceptrice",""
"RL","Utilisation des terres","768","Togo","5110","Superficie","6620","Terres en culture","1999","1999","1000 ha","2370","I","Valeur imputée par une agence réceptrice",""
"RL","Utilisation des terres","768","Togo","5110","Superficie","6620","Terres en culture","2000","2000","1000 ha","2400","I","Valeur imputée par une agence réceptrice",""
"RL","Utilisation des terres","768","Togo","5110","Superficie","6620","Terres en culture","2001","2001","1000 ha","2420","I","Valeur imputée par une agence réceptrice",""
"RL","Utilisation des terres","768","Togo","5110","Superficie","6620","Terres en culture","2002","2002","1000 ha","2440","I","Valeur imputée par une agence réceptrice",""
"RL","Utilisation des terres","768","Togo","5110","Superficie","6620","Terres en culture","2003","2003","1000 ha","2460","I","Valeur imputée par une agence réceptrice",""
"RL","Utilisation des terres","768","Togo","5110","Superficie","6620","Terres en culture","2004","2004","1000 ha","2480","I","Valeur imputée par une agence réceptrice",""
"RL","Utilisation des terres","768","Togo","5110","Superficie","6620","Terres en culture","2005","2005","1000 ha","2520","I","Valeur imputée par une agence réceptrice",""
"RL","Utilisation des terres","768","Togo","5110","Superficie","6620","Terres en culture","2006","2006","1000 ha","2570","I","Valeur imputée par une agence réceptrice",""
"RL","Utilisation des terres","768","Togo","5110","Superficie","6620","Terres en culture","2007","2007","1000 ha","2595","I","Valeur imputée par une agence réceptrice",""
"RL","Utilisation des terres","768","Togo","5110","Superficie","6620","Terres en culture","2008","2008","1000 ha","2635","I","Valeur imputée par une agence réceptrice",""
"RL","Utilisation des terres","768","Togo","5110","Superficie","6620","Terres en culture","2009","2009","1000 ha","2655","I","Valeur imputée par une agence réceptrice",""
"RL","Utilisation des terres","768","Togo","5110","Superficie","6620","Terres en culture","2010","2010","1000 ha","2665","I","Valeur imputée par une agence réceptrice",""
"RL","Utilisation des terres","768","Togo","5110","Superficie","6620","Terres en culture","2011","2011","1000 ha","2665","I","Valeur imputée par une agence réceptrice",""
"RL","Utilisation des terres","768","Togo","5110","Superficie","6620","Terres en culture","2012","2012","1000 ha","2850","I","Valeur imputée par une agence réceptrice",""
"RL","Utilisation des terres","768","Togo","5110","Superficie","6620","Terres en culture","2013","2013","1000 ha","2820","I","Valeur imputée par une agence réceptrice",""
"RL","Utilisation des terres","768","Togo","5110","Superficie","6620","Terres en culture","2014","2014","1000 ha","2820","I","Valeur imputée par une agence réceptrice",""
"RL","Utilisation des terres","768","Togo","5110","Superficie","6620","Terres en culture","2015","2015","1000 ha","2820","I","Valeur imputée par une agence réceptrice",""
"RL","Utilisation des terres","768","Togo","5110","Superficie","6620","Terres en culture","2016","2016","1000 ha","2820","I","Valeur imputée par une agence réceptrice",""
"RL","Utilisation des terres","768","Togo","5110","Superficie","6620","Terres en culture","2017","2017","1000 ha","2820","I","Valeur imputée par une agence réceptrice",""
"RL","Utilisation des terres","768","Togo","5110","Superficie","6620","Terres en culture","2018","2018","1000 ha","2820","I","Valeur imputée par une agence réceptrice",""
"RL","Utilisation des terres","768","Togo","5110","Superficie","6620","Terres en culture","2019","2019","1000 ha","2820","I","Valeur imputée par une agence réceptrice",""
"RL","Utilisation des terres","768","Togo","5110","Superficie","6620","Terres en culture","2020","2020","1000 ha","2820","I","Valeur imputée par une agence réceptrice",""
"RL","Utilisation des terres","768","Togo","5110","Superficie","6620","Terres en culture","2021","2021","1000 ha","2820","I","Valeur imputée par une agence réceptrice",""
"RL","Utilisation des terres","768","Togo","5110","Superficie","6620","Terres en culture","2022","2022","1000 ha","2820","I","Valeur imputée par une agence réceptrice",""
"RL","Utilisation des terres","768","Togo","5110","Superficie","6620","Terres en culture","2023","2023","1000 ha","2820","I","Valeur imputée par une agence réceptrice",""
"RL","Utilisation des terres","768","Togo","5110","Superficie","6680","Eaux continentales","1961","1961","1000 ha","240","I","Valeur imputée par une agence réceptrice",""
"RL","Utilisation des terres","768","Togo","5110","Superficie","6680","Eaux continentales","1962","1962","1000 ha","240","I","Valeur imputée par une agence réceptrice",""
"RL","Utilisation des terres","768","Togo","5110","Superficie","6680","Eaux continentales","1963","1963","1000 ha","240","I","Valeur imputée par une agence réceptrice",""
"RL","Utilisation des terres","768","Togo","5110","Superficie","6680","Eaux continentales","1964","1964","1000 ha","240","I","Valeur imputée par une agence réceptrice",""
"RL","Utilisation des terres","768","Togo","5110","Superficie","6680","Eaux continentales","1965","1965","1000 ha","240","I","Valeur imputée par une agence réceptrice",""
"RL","Utilisation des terres","768","Togo","5110","Superficie","6680","Eaux continentales","1966","1966","1000 ha","240","I","Valeur imputée par une agence réceptrice",""
"RL","Utilisation des terres","768","Togo","5110","Superficie","6680","Eaux continentales","1967","1967","1000 ha","240","I","Valeur imputée par une agence réceptrice",""
"RL","Utilisation des terres","768","Togo","5110","Superficie","6680","Eaux continentales","1968","1968","1000 ha","240","I","Valeur imputée par une agence réceptrice",""
"RL","Utilisation des terres","768","Togo","5110","Superficie","6680","Eaux continentales","1969","1969","1000 ha","240","I","Valeur imputée par une agence réceptrice",""
"RL","Utilisation des terres","768","Togo","5110","Superficie","6680","Eaux continentales","1970","1970","1000 ha","240","I","Valeur imputée par une agence réceptrice",""
"RL","Utilisation des terres","768","Togo","5110","Superficie","6680","Eaux continentales","1971","1971","1000 ha","240","I","Valeur imputée par une agence réceptrice",""
"RL","Utilisation des terres","768","Togo","5110","Superficie","6680","Eaux continentales","1972","1972","1000 ha","240","I","Valeur imputée par une agence réceptrice",""
"RL","Utilisation des terres","768","Togo","5110","Superficie","6680","Eaux continentales","1973","1973","1000 ha","240","I","Valeur imputée par une agence réceptrice",""
"RL","Utilisation des terres","768","Togo","5110","Superficie","6680","Eaux continentales","1974","1974","1000 ha","240","I","Valeur imputée par une agence réceptrice",""
"RL","Utilisation des terres","768","Togo","5110","Superficie","6680","Eaux continentales","1975","1975","1000 ha","240","I","Valeur imputée par une agence réceptrice",""
"RL","Utilisation des terres","768","Togo","5110","Superficie","6680","Eaux continentales","1976","1976","1000 ha","240","I","Valeur imputée par une agence réceptrice",""
"RL","Utilisation des terres","768","Togo","5110","Superficie","6680","Eaux continentales","1977","1977","1000 ha","240","I","Valeur imputée par une agence réceptrice",""
"RL","Utilisation des terres","768","Togo","5110","Superficie","6680","Eaux continentales","1978","1978","1000 ha","240","I","Valeur imputée par une agence réceptrice",""
"RL","Utilisation des terres","768","Togo","5110","Superficie","6680","Eaux continentales","1979","1979","1000 ha","240","I","Valeur imputée par une agence réceptrice",""
