Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description
"QI","Production Indices","768","Togo","432","Gross Production Index Number (2014-2016 = 100)","01199.90","Cereals n.e.c.","1961","1961","","48.04","E","Estimated value"
"QI","Production Indices","768","Togo","432","Gross Production Index Number (2014-2016 = 100)","01199.90","Cereals n.e.c.","1962","1962","","238.7","E","Estimated value"
"QI","Production Indices","768","Togo","432","Gross Production Index Number (2014-2016 = 100)","01199.90","Cereals n.e.c.","1963","1963","","286.79","E","Estimated value"
"QI","Production Indices","768","Togo","432","Gross Production Index Number (2014-2016 = 100)","01199.90","Cereals n.e.c.","1964","1964","","168.13","E","Estimated value"
"QI","Production Indices","768","Togo","432","Gross Production Index Number (2014-2016 = 100)","01199.90","Cereals n.e.c.","1965","1965","","192.15","E","Estimated value"
"QI","Production Indices","768","Togo","432","Gross Production Index Number (2014-2016 = 100)","01199.90","Cereals n.e.c.","1966","1966","","120.1","E","Estimated value"
"QI","Production Indices","768","Togo","432","Gross Production Index Number (2014-2016 = 100)","01199.90","Cereals n.e.c.","1967","1967","","46.36","E","Estimated value"
"QI","Production Indices","768","Togo","432","Gross Production Index Number (2014-2016 = 100)","01199.90","Cereals n.e.c.","1968","1968","","24.02","E","Estimated value"
"QI","Production Indices","768","Togo","432","Gross Production Index Number (2014-2016 = 100)","01199.90","Cereals n.e.c.","1969","1969","","48.04","E","Estimated value"
"QI","Production Indices","768","Togo","432","Gross Production Index Number (2014-2016 = 100)","01199.90","Cereals n.e.c.","1970","1970","","72.06","E","Estimated value"
"QI","Production Indices","768","Togo","432","Gross Production Index Number (2014-2016 = 100)","01199.90","Cereals n.e.c.","1971","1971","","96.08","E","Estimated value"
"QI","Production Indices","768","Togo","432","Gross Production Index Number (2014-2016 = 100)","01199.90","Cereals n.e.c.","1972","1972","","96.08","E","Estimated value"
"QI","Production Indices","768","Togo","432","Gross Production Index Number (2014-2016 = 100)","01199.90","Cereals n.e.c.","1973","1973","","96.08","E","Estimated value"
"QI","Production Indices","768","Togo","432","Gross Production Index Number (2014-2016 = 100)","01199.90","Cereals n.e.c.","1974","1974","","120.1","E","Estimated value"
"QI","Production Indices","768","Togo","432","Gross Production Index Number (2014-2016 = 100)","01199.90","Cereals n.e.c.","1975","1975","","120.1","E","Estimated value"
"QI","Production Indices","768","Togo","432","Gross Production Index Number (2014-2016 = 100)","01199.90","Cereals n.e.c.","1976","1976","","124.9","E","Estimated value"
"QI","Production Indices","768","Togo","432","Gross Production Index Number (2014-2016 = 100)","01199.90","Cereals n.e.c.","1977","1977","","144.12","E","Estimated value"
"QI","Production Indices","768","Togo","432","Gross Production Index Number (2014-2016 = 100)","01199.90","Cereals n.e.c.","1978","1978","","120.1","E","Estimated value"
"QI","Production Indices","768","Togo","432","Gross Production Index Number (2014-2016 = 100)","01199.90","Cereals n.e.c.","1979","1979","","120.1","E","Estimated value"
"QI","Production Indices","768","Togo","432","Gross Production Index Number (2014-2016 = 100)","01199.90","Cereals n.e.c.","1980","1980","","120.1","E","Estimated value"
"QI","Production Indices","768","Togo","432","Gross Production Index Number (2014-2016 = 100)","01199.90","Cereals n.e.c.","1981","1981","","120.1","E","Estimated value"
"QI","Production Indices","768","Togo","432","Gross Production Index Number (2014-2016 = 100)","01199.90","Cereals n.e.c.","1982","1982","","120.1","E","Estimated value"
"QI","Production Indices","768","Togo","432","Gross Production Index Number (2014-2016 = 100)","01199.90","Cereals n.e.c.","1983","1983","","144.12","E","Estimated value"
"QI","Production Indices","768","Togo","432","Gross Production Index Number (2014-2016 = 100)","01199.90","Cereals n.e.c.","1984","1984","","120.1","E","Estimated value"
"QI","Production Indices","768","Togo","432","Gross Production Index Number (2014-2016 = 100)","01199.90","Cereals n.e.c.","1985","1985","","120.1","E","Estimated value"
"QI","Production Indices","768","Togo","432","Gross Production Index Number (2014-2016 = 100)","01199.90","Cereals n.e.c.","1986","1986","","149.81","E","Estimated value"
"QI","Production Indices","768","Togo","432","Gross Production Index Number (2014-2016 = 100)","01199.90","Cereals n.e.c.","1987","1987","","111.76","E","Estimated value"
"QI","Production Indices","768","Togo","432","Gross Production Index Number (2014-2016 = 100)","01199.90","Cereals n.e.c.","1988","1988","","76.67","E","Estimated value"
"QI","Production Indices","768","Togo","432","Gross Production Index Number (2014-2016 = 100)","01199.90","Cereals n.e.c.","1989","1989","","23.27","E","Estimated value"
"QI","Production Indices","768","Togo","432","Gross Production Index Number (2014-2016 = 100)","01199.90","Cereals n.e.c.","1990","1990","","20.15","E","Estimated value"
"QI","Production Indices","768","Togo","432","Gross Production Index Number (2014-2016 = 100)","01199.90","Cereals n.e.c.","1991","1991","","60.05","E","Estimated value"
"QI","Production Indices","768","Togo","432","Gross Production Index Number (2014-2016 = 100)","01199.90","Cereals n.e.c.","1992","1992","","94.16","E","Estimated value"
"QI","Production Indices","768","Togo","432","Gross Production Index Number (2014-2016 = 100)","01199.90","Cereals n.e.c.","1993","1993","","113.9","E","Estimated value"
"QI","Production Indices","768","Togo","432","Gross Production Index Number (2014-2016 = 100)","01199.90","Cereals n.e.c.","1994","1994","","176.61","E","Estimated value"
"QI","Production Indices","768","Togo","432","Gross Production Index Number (2014-2016 = 100)","01199.90","Cereals n.e.c.","1995","1995","","73.86","E","Estimated value"
"QI","Production Indices","768","Togo","432","Gross Production Index Number (2014-2016 = 100)","01199.90","Cereals n.e.c.","1996","1996","","276.92","E","Estimated value"
"QI","Production Indices","768","Togo","432","Gross Production Index Number (2014-2016 = 100)","01199.90","Cereals n.e.c.","1997","1997","","224.51","E","Estimated value"
"QI","Production Indices","768","Togo","432","Gross Production Index Number (2014-2016 = 100)","01199.90","Cereals n.e.c.","1998","1998","","237.02","E","Estimated value"
"QI","Production Indices","768","Togo","432","Gross Production Index Number (2014-2016 = 100)","01199.90","Cereals n.e.c.","1999","1999","","90.07","E","Estimated value"
"QI","Production Indices","768","Togo","432","Gross Production Index Number (2014-2016 = 100)","01199.90","Cereals n.e.c.","2000","2000","","81.33","E","Estimated value"
"QI","Production Indices","768","Togo","432","Gross Production Index Number (2014-2016 = 100)","01199.90","Cereals n.e.c.","2001","2001","","103.26","E","Estimated value"
"QI","Production Indices","768","Togo","432","Gross Production Index Number (2014-2016 = 100)","01199.90","Cereals n.e.c.","2002","2002","","34.68","E","Estimated value"
"QI","Production Indices","768","Togo","432","Gross Production Index Number (2014-2016 = 100)","01199.90","Cereals n.e.c.","2003","2003","","110.15","E","Estimated value"
"QI","Production Indices","768","Togo","432","Gross Production Index Number (2014-2016 = 100)","01199.90","Cereals n.e.c.","2004","2004","","49.5","E","Estimated value"
"QI","Production Indices","768","Togo","432","Gross Production Index Number (2014-2016 = 100)","01199.90","Cereals n.e.c.","2005","2005","","66.58","E","Estimated value"
"QI","Production Indices","768","Togo","432","Gross Production Index Number (2014-2016 = 100)","01199.90","Cereals n.e.c.","2006","2006","","23.76","E","Estimated value"
"QI","Production Indices","768","Togo","432","Gross Production Index Number (2014-2016 = 100)","01199.90","Cereals n.e.c.","2007","2007","","24.02","E","Estimated value"
"QI","Production Indices","768","Togo","432","Gross Production Index Number (2014-2016 = 100)","01199.90","Cereals n.e.c.","2008","2008","","21.76","E","Estimated value"
"QI","Production Indices","768","Togo","432","Gross Production Index Number (2014-2016 = 100)","01199.90","Cereals n.e.c.","2009","2009","","38.69","E","Estimated value"
"QI","Production Indices","768","Togo","432","Gross Production Index Number (2014-2016 = 100)","01199.90","Cereals n.e.c.","2010","2010","","40.57","E","Estimated value"
"QI","Production Indices","768","Togo","432","Gross Production Index Number (2014-2016 = 100)","01199.90","Cereals n.e.c.","2011","2011","","28.82","E","Estimated value"
"QI","Production Indices","768","Togo","432","Gross Production Index Number (2014-2016 = 100)","01199.90","Cereals n.e.c.","2012","2012","","74.6","E","Estimated value"
"QI","Production Indices","768","Togo","432","Gross Production Index Number (2014-2016 = 100)","01199.90","Cereals n.e.c.","2013","2013","","92.23","E","Estimated value"
"QI","Production Indices","768","Togo","432","Gross Production Index Number (2014-2016 = 100)","01199.90","Cereals n.e.c.","2014","2014","","114.24","E","Estimated value"
